Time,PositionX,PositionY,PositionZ,Speed,SteeringAngle
6.792985,477.3828,41.40183,237.6354,5.41318,0.01040146
6.8,477.3828,41.40183,237.6354,5.41318,0.05715876
6.82,477.3901,41.38971,237.7425,5.449978,0.06689198
6.84,477.3973,41.37736,237.8481,5.403489,0.1045331
6.852556,477.4047,41.36438,237.9566,5.524057,0.01055281
6.86,477.4047,41.36438,237.9566,5.524057,0.0689952
6.88,477.4119,41.35128,238.0639,5.491731,0.09688254
6.9,477.4194,41.33774,238.1732,5.571323,0.07707793
6.92,477.4266,41.32423,238.2808,5.517206,0.1140666
6.94,477.4342,41.31039,238.3908,5.615627,0.07514751
6.96,477.4418,41.29644,238.5018,5.660982,0.07367164
6.96108,477.4496,41.28223,238.6133,5.689903,-0.003351757
6.98,477.4496,41.28223,238.6133,5.689903,0.08174792
7,477.4574,41.26785,238.7246,5.689315,0.08836097
7.018265,477.4653,41.25283,238.839,5.813296,-0.003542263
7.02,477.4653,41.25283,238.839,5.813296,0.03924609
7.04,477.4728,41.23785,238.9502,5.697768,0.1009514
7.06,477.4807,41.22215,239.067,5.913784,0.01074465
7.08,477.4883,41.20671,239.1794,5.75533,0.0981955
7.1,477.4963,41.19062,239.2981,5.999396,0.006308961
7.12,477.504,41.17488,239.4122,5.840813,0.0888778
7.128304,477.5122,41.1586,239.5312,6.031422,0.00107049
7.14,477.5122,41.1586,239.5312,6.031422,0.0189596
7.16,477.5204,41.1423,239.6482,5.972119,0.0809015
7.18,477.5285,41.12545,239.7672,6.063291,0.06309385
7.184573,477.5366,41.10842,239.886,6.076145,-0.006563278
7.2,477.5366,41.10842,239.886,6.076145,0.08143747
7.22,477.5449,41.09088,240.0075,6.190346,0.06417517
7.24,477.5529,41.07333,240.128,6.171643,0.09300306
7.26,477.5612,41.05542,240.2503,6.251792,0.0789332
7.28,477.5694,41.03755,240.3723,6.255162,0.1012826
7.293076,477.5777,41.01943,240.4955,6.310365,-0.0008559418
